DBN,School Name,Number of Test Takers,Critical Reading Mean,Mathematics Mean,Writing Mean,Borough
02M531,NEW YORK CITY PUB SCH REP COMP ,32,415,405,397,Manhattan
02M535,Park West High School ,,,,,Manhattan
02M542,MANHATTAN BRIDGE HIGH SCHOOL ,31,345,380,325,Manhattan
02M543,NEW DESIGN HIGH SCHOOL ,74,390,385,387,Manhattan
02M544,INDEPENDENCE HIGH SCHOOL ,16,404,419,395,Manhattan
02M545,Dual Language and Asian Studies High School ,47,416,612,419,Manhattan
02M550,Liberty High School Academy for Newcomers ,32,343,465,362,Manhattan
02M551,New York Harbor High School ,54,372,369,368,Manhattan
02M560,City as School ,57,468,441,434,Manhattan
02M565,URBAN ACADEMY ,34,513,460,502,Manhattan
02M570,Satellite Academy High School ,16,400,336,376,Manhattan
02M575,Manhattan Comprehensive Night Day High School ,141,355,475,339,Manhattan
02M580,Richard R Green High School of Teaching ,79,425,429,419,Manhattan
02M586,HARVEY MILK SCHOOL ,11,429,382,416,Manhattan
02M600,HIGH SCHOOL FASHION INDUSTRIES ,301,419,420,413,Manhattan
02M605,HUMANITIES PREPARATORY ACADEMY ,37,433,405,417,Manhattan
02M615,Chelsea Career and Technical Education High School ,61,393,412,376,Manhattan
02M620,NORMAN THOMAS HIGH SCHOOL ,152,378,387,370,Manhattan
02M625,HS of Graphic Commnctn And Art ,125,370,378,360,Manhattan
02M630,HIGH SCHOOL OF ART AND DESIGN ,212,427,423,418,Manhattan
02M655,LIFE SCIENCES SECONDARY SCHOOL ,71,399,389,383,Manhattan
02M690,SCHOOL FOR THE PHYSICAL CITY ,14,382,404,359,Manhattan
03M283,MANHATTAN THEATRE LAB HIGH SCHOOL ,23,406,378,391,Manhattan
03M299,"High School For Arts, Imagination And Inquiry ",57,364,378,357,Manhattan
03M307,Urban Assembly School For Media Studies ,53,374,363,377,Manhattan
03M404,INNOVATION DIPLOMA PLUS HIGH SCHOOL ,,,,,Manhattan
03M415,WADLEIGH SECONDARY SCHOOL ,68,376,373,371,Manhattan
