DBN,School Name,Number of Test Takers,Critical Reading Mean,Mathematics Mean,Writing Mean,Borough
24Q267,High School of Applied Communication ,67,411,420,407,Queens
24Q293,Civic Leadership Academy ,,,,,Queens
24Q296,Pan American International High School ,,,,,Queens
24Q299,BARD HIGH SCHOOL EARLY COLLEGE II ,42,545,548,541,Queens
24Q455,NEWTOWN HIGH SCHOOL ,251,379,427,372,Queens
24Q485,GROVER CLEVELAND HIGH SCHOOL ,269,398,431,391,Queens
24Q520,MIDDLE COLLEGE HIGH SCHOOL ,32,386,402,373,Queens
24Q530,INTERNATL HS@LA GUARDIA COMM C ,75,355,428,359,Queens
24Q550,HIGH SCHOOL FOR ARTS/BUSINESS ,127,363,372,363,Queens
24Q560,ROBERT F WAGNER JR SECONDARY ,49,420,440,421,Queens
24Q600,Queens Vocational & Tech High School ,130,415,428,401,Queens
24Q610,Aviation Career & Technical Education High School ,289,444,494,427,Queens
24Q744,VOYAGES PREPARATORY HIGH SCHOOL ,7,416,413,364,Queens
25Q252,Queens School of Inquiry ,,,,,Queens
25Q263,FLUSHING INTERNATIONAL HIGH SCHOOL ,57,325,415,311,Queens
25Q281,EAST WEST SCHOOL OF INTERNATIONAL STUDIE ,50,438,485,442,Queens
25Q285,WORLD JOURNALISM PREPARATORY SCHOOL ,56,429,425,421,Queens
25Q425,JOHN BOWNE HIGH SCHOOL ,302,391,423,389,Queens
25Q460,FLUSHING HIGH SCHOOL ,278,372,398,366,Queens
25Q467,YABC AT FLUSHING HIGH SCHOOL ,,,,,Queens
25Q525,Townsend Harris High School at Queens College ,273,637,644,642,Queens
25Q670,Robert F Kennedy Community High School ,61,449,471,462,Queens
25Q792,North Queens Community High School ,22,434,422,422,Queens
26Q415,BENJAMIN CARDOZO HIGH SCHOOL ,697,486,551,492,Queens
26Q430,FRANCIS LEWIS HIGH SCHOOL ,808,457,530,454,Queens
26Q435,MARTIN VAN BUREN HIGH SCHOOL ,343,402,411,398,Queens
26Q495,BAYSIDE HIGH SCHOOL ,732,472,531,467,Queens
26Q566,Queens High School-Teaching Liberal Arts Sciences ,144,438,455,433,Queens
27Q260,FREDERICK DOUGLASS ACADEMY VI ,65,393,390,387,Queens
27Q262,CHANNEL VIEW SCHOOL FOR RESEARCH ,63,455,423,420,Queens
27Q302,"Queens High School for Information, Research, and Te ",,,,,Queens
27Q308,Robert H. Goddard High School for Communication Art ,,,,,Queens
27Q309,ACADEMY OF MEDICAL TECHNOLOGY ,,,,,Queens
27Q323,Region Five Scholars' Academy ,,,,,Queens
27Q400,AUGUST MARTIN HIGH SCHOOL ,102,377,372,362,Queens
27Q410,BEACH CHANNEL HIGH SCHOOL ,114,393,390,380,Queens
27Q465,FAR ROCKAWAY HIGH SCHOOL ,31,350,369,360,Queens
27Q475,RICHMOND HILL HIGH SCHOOL ,397,380,401,380,Queens
27Q480,JOHN ADAMS HIGH SCHOOL ,302,399,424,404,Queens
27Q487/27Q481,YABC AT JOHN ADAMS HIGH SCHOOL ,,,,,Queens
27Q650,"HS for Construction Trades, Engineering and Arch ",87,421,464,424,Queens
28Q310,Queens Collegiate: A College Board School ,,,,,Queens
28Q338,SATELLITE ACADEMY ,22,346,351,338,Queens
28Q440,FOREST HILLS HIGH SCHOOL ,627,468,491,462,Queens
28Q470,JAMAICA HIGH SCHOOL ,153,393,400,391,Queens
28Q505,HILLCREST HIGH SCHOOL ,498,385,400,385,Queens
28Q620,Thomas Edison Vocational-Technical High School ,529,455,490,439,Queens
28Q680,Queens Gateway to Health Sciences Secondary Schoo ,89,525,532,515,Queens
28Q687,QUEENS HS FOR SCIENCE YORK COL ,99,613,650,612,Queens
28Q690,High School For Law Enforcement And Public Safety ,62,408,429,412,Queens
28Q896,Young Women's Leadership High School ,,,,,Queens
29Q248,QUEENS PREPARATORY ACADEMY ,46,372,388,381,Queens
29Q259,PATHWAYS COLLEGE PREPARATORY SCHOOL ,42,406,415,394,Queens
29Q265,EXCELSIOR PREPARATORY HIGH SCHOOL ,55,394,358,388,Queens
29Q272,GEORGE WASHINGTON CARVER HS ,68,425,435,418,Queens
29Q283,PREPARATORY ACADEMY FOR WRITERS ,18,413,402,388,Queens
29Q420,Springfield Gardens High School ,20,429,402,403,Queens
29Q492,MATH SCIENCE RESEARCH TECH MAG ,59,405,430,405,Queens
29Q494,LAW GOVERNMENT SERVICE MAGNET ,60,406,412,391,Queens
29Q496,BUSINESS COMPUTER APPLICATION ,52,388,389,380,Queens
29Q498,Humanities and Arts Magnet High School ,45,383,371,370,Queens
30Q301,Academy for Careers in Television and Film ,,,,,Queens
30Q445,WILLIAM C BRYANT HIGH SCHOOL ,322,405,456,408,Queens
30Q450,LONG ISLAND CITY HIGH SCHOOL ,296,418,434,408,Queens
30Q501,Frank Sinatra School of the Arts ,153,506,495,499,Queens
30Q502,INFORMATION TECHNOLOGY HIGH SCHOOL ,140,440,452,424,Queens
30Q555,NEWCOMERS HIGH SCHOOL ,147,343,447,346,Queens
30Q575,ACADEMY OF AMERICAN STUDIES ,120,502,505,515,Queens
30Q580,BACCALAUREATE SCH GLOBAL EDUC ,64,560,587,570,Queens
31R064,Gaynor McCown Expeditionary Learning School ,,,,,Staten Island
31R080,MICHAEL J PETRIDES SCHOOL ,86,508,523,502,Staten Island
31R440,NEW DORP HIGH SCHOOL ,282,431,446,434,Staten Island
31R445,PORT RICHMOND HIGH SCHOOL ,237,437,442,425,Staten Island
31R450,CURTIS HIGH SCHOOL ,373,439,441,430,Staten Island
31R455,TOTTENVILLE HIGH SCHOOL ,698,459,482,467,Staten Island
31R460,SUSAN E WAGNER HIGH SCHOOL ,531,463,482,457,Staten Island
31R470,CONCORD HIGH SCHOOL ,10,474,431,397,Staten Island
31R600,RALPH MCKEE VOC-TECH HIGH SCH ,48,411,429,386,Staten Island
31R605,STATEN ISLAND TECHNICAL HIGH SCHOOL ,287,638,673,617,Staten Island
32K403,ACADEMY OF ENVIRONMENTAL LEADERSHIP ,36,382,369,374,Brooklyn
32K480,Bushwick High School ,,,,,Brooklyn
32K545,EBC High School for Public Service - Bushwick ,82,389,390,376,Brooklyn
32K549,BUSHWICK HS FOR SOCIAL JUSTICE ,72,363,364,358,Brooklyn
32K552,Academy of Urban Planning ,49,355,361,353,Brooklyn
32K554,ALL CITY LEADERSHIP SECONDARY ,29,394,420,395,Brooklyn
32K556,Bushwick Leaders High School for Academic Excel ,30,357,345,351,Brooklyn
72X470,South Bronx High School ,,,,,Bronx
75K371,LILLIAN L RASHKIS HS P371K ,,,,,Brooklyn
75M035,MANHATTAN HIGH SCHOOL - P35M ,,,,,Manhattan
75Q004,P4Q SCHOOL (@ 179) ,,,,,Queens
75Q256,P256 QUEENS SCHOOL @ SAINT MARY'S ,,,,,Queens
75R025,South Richmond High School ,10,407,421,400,State Island
75X012,PS12X LEWIS AND CLARK SCHOOL ,,,,,Bronx
75X754,P754 X - Jeffrey M. Rapport School for Career Devt ,,,,,Bronx
76K460,John Jay High School ,9,390,381,398,Brooklyn
79X490,PHOENIX SCHOOL ,7,404,423,416,Bronx
